
taxa	total	dpt.me	dpt.sd	d>5.tot	d>5.me	d>5.sd	badpairs
40 	**                                  2502
50 	***                                 4324
100 	**                                  1290
250 	*                                   190
500 	*                                   301

sample: CN_19
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              13136
5 	***                                 6324
10 	***                                 5163
15 	***                                 4548
20 	***                                 4347
25 	***                                 4077
30 	**                                  3922
35 	**                                  3537
40 	***                                 6598
50 	********                            18455
100 	****                                8243
250 	*                                   650
500 	*                                   463

sample: CN_2
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             17051
5 	****                                8093
10 	***                                 5965
15 	***                                 4652
20 	**                                  3907
25 	**                                  3593
30 	**                                  3568
35 	**                                  3417
40 	***                                 6700
50 	********                            22037
100 	*****                               11861
250 	*                                   915
500 	*                                   577

sample: CN_3
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              15515
5 	***                                 7090
10 	***                                 5279
15 	***                                 4309
20 	**                                  4023
25 	**                                  4103
30 	**                                  4112
35 	**                                  3935
40 	****                                7187
50 	********                            21134
100 	****                                8159
250 	*                                   593
500 	*                                   477

sample: CN_4
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*********                           35193
5 	*****                               16205
10 	***                                 9350
15 	**                                  4908
20 	**                                  3185
25 	**                                  2842
30 	**                                  2873
35 	**                                  2829
40 	**                                  5923
50 	*******                             23686
100 	*****                               17336
250 	*                                   1794
500 	*                                   703

sample: CN_5
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             15409
5 	****                                6950
10 	***                                 5421
15 	***                                 4823
20 	***                                 4501
25 	**                                  4101
30 	**                                  3849
35 	**                                  3502
40 	***                                 6060
50 	*******                             17775
100 	****                                8915
250 	*                                   792
500 	*                                   496

sample: CN_6
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	********                            16331
5 	*****                               10683
10 	****                                8515
15 	****                                6833
20 	***                                 5471
25 	***                                 4599
30 	***                                 3772
35 	**                                  3076
40 	***                                 4622
50 	****                                7902
100 	**                                  1634
250 	*                                   194
500 	*                                   300

sample: CN_7
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*********                           25262
5 	****                                9840
10 	***                                 5581
15 	**                                  4573
20 	**                                  4035
25 	**                                  3759
30 	**                                  3564
35 	**                                  3276
40 	***                                 5990
50 	*******                             18555
100 	****                                10677
250 	*                                   1000
500 	*                                   581

sample: CN_8
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	********                            18078
5 	****                                8960
10 	***                                 6730
15 	***                                 5573
20 	***                                 4440
25 	**                                  3681
30 	**                                  3358
35 	**                                  2900
40 	***                                 5196
50 	******                              14802
100 	****                                8288
250 	*                                   800
500 	*                                   477

sample: CN_9
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              13479
5 	***                                 6330
10 	***                                 5087
15 	***                                 4612
20 	***                                 4247
25 	***                                 4076
30 	**                                  3686
35 	**                                  3648
40 	***                                 6524
50 	********                            18950
100 	****                                8693
250 	*                                   657
500 	*                                   486

sample: ED_1
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12943
5 	****                                6874
10 	***                                 5249
15 	***                                 4606
20 	***                                 4680
25 	***                                 4747
30 	***                                 4532
35 	***                                 4264
40 	****                                7726
50 	********                            18343
100 	***                                 5056
250 	*                                   401
500 	*                                   417

sample: ED_10
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             13085
5 	****                                6694
10 	***                                 4716
15 	***                                 4350
20 	***                                 3961
25 	***                                 3787
30 	***                                 3406
35 	**                                  2986
40 	***                                 4971
50 	*******                             12782
100 	****                                5703
250 	*                                   511
500 	*                                   404

sample: ED_11
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               11104
5 	***                                 5355
10 	***                                 4055
15 	**                                  3688
20 	**                                  3495
25 	**                                  3186
30 	**                                  2988
35 	**                                  2810
40 	***                                 5144
50 	********                            18354
100 	*******                             15449
250 	**                                  1955
500 	*                                   675

sample: ED_12
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12964
5 	***                                 6284
10 	***                                 4536
15 	**                                  3968
20 	***                                 4139
25 	***                                 4094
30 	***                                 4144
35 	***                                 4124
40 	****                                7661
50 	*********                           21319
100 	****                                7202
250 	*                                   468
500 	*                                   442

sample: ED_13
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12320
5 	****                                7465
10 	***                                 6163
15 	***                                 5853
20 	***                                 5912
25 	***                                 5612
30 	***                                 4979
35 	***                                 4500
40 	****                                7171
50 	******                              13015
100 	**                                  2486
250 	*                                   254
500 	*                                   330

sample: ED_14
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10280
5 	***                                 5941
10 	***                                 5080
15 	***                                 4787
20 	***                                 4789
25 	***                                 4639
30 	***                                 4488
35 	***                                 4090
40 	****                                6957
50 	********                            17520
100 	***                                 5856
250 	*                                   446
500 	*                                   413

sample: ED_15
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               9875
5 	***                                 5282
10 	***                                 4076
15 	**                                  3635
20 	**                                  3570
25 	**                                  3723
30 	**                                  3656
35 	**                                  3662
40 	****                                6770
50 	*********                           21420
100 	*****                               10274
250 	*                                   787
500 	*                                   500

sample: ED_16
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10494
5 	***                                 4785
10 	**                                  3553
15 	**                                  3204
20 	**                                  3133
25 	**                                  3155
30 	**                                  3149
35 	**                                  3148
40 	***                                 6317
50 	*********                           21904
100 	******                              13266
250 	*                                   1229
500 	*                                   595

sample: ED_17
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10519
5 	***                                 6056
10 	***                                 5290
15 	***                                 5081
20 	***                                 4788
25 	***                                 4482
30 	***                                 4135
35 	***                                 3792
40 	****                                6379
50 	********                            16061
100 	***                                 5624
250 	*                                   396
500 	*                                   412

sample: ED_18
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10069
5 	***                                 5982
